Driver,Sector1,Sector2,Sector3
ALB,29.418,18.165,36.792
ALO,29.879,18.494,37.34
ANT,28.926,17.66,35.831
BEA,29.612,17.74,36.668
BOR,29.395,17.8,36.062
BOT,30.99,18.033,38.341
COL,29.194,17.38,36.352
GAS,29.844,17.894,36.748
HAD,29.867,18.795,36.577
HAM,29.094,17.613,35.716
LAW,29.407,17.848,36.528
LEC,28.995,17.699,35.885
LIN,29.574,17.755,36.853
NOR,28.979,17.78,35.599
OCO,29.924,17.752,36.748
PER,30.284,18.074,37.712
RUS,28.979,17.717,35.974
SAI,29.198,18.018,36.374
STR,29.828,18.491,37.091
VER,28.823,17.616,35.652
